Total , Name           , Type          , Code
 13543, elk            , wild          ,   17
 14810, baddate        , eyes          ,   10
 15308, camo           , pattern       ,   05
 16344, henna          , pattern       ,   21
 17276, onyx           , color1        ,   25
 17348, violet         , color2        ,   09
 17356, forgetmenot    , coloreyes     ,   09
 17740, springcrocus   , color2        ,   01
 17805, impish         , mouth         ,   05
 19146, asif           , eyes          ,   11
 19190, fabulous       , eyes          ,   18
 19391, nachocheez     , color1        ,   07
 20085, poisonberry    , color2        ,   03
 20596, bubblegum      , coloreyes     ,   19
 20606, serpent        , eyes          ,   02
 20753, shale          , color3        ,   09
 20916, sass           , eyes          ,   22
 21083, chartreux      , body          ,   10
 21162, norwegianforest, body          ,   16
 22252, fangtastic     , mouth         ,   12
 22274, rollercoaster  , mouth         ,   07
 22778, swarley        , eyes          ,   00
 23194, dali           , mouth         ,   20
 24480, stunned        , eyes          ,   15
 24643, confuzzled     , mouth         ,   04
 24801, apricot        , color2        ,   05
 25421, lilac          , color2        ,   04
 26263, doridnudibranch, coloreyes     ,   13
 26399, tigerpunk      , pattern       ,   20
 26425, kalahari       , color3        ,   08
 28513, olive          , coloreyes     ,   12
 29369, otaku          , eyes          ,   04
 29582, parakeet       , coloreyes     ,   14
 31887, jaguar         , pattern       ,   11
 33366, oldlace        , color1        ,   18
 33775, peach          , color3        ,   02
 35824, brownies       , color1        ,   12
 36183, limegreen      , coloreyes     ,   17
 36999, ganado         , pattern       ,   03
 37243, cashewmilk     , color3        ,   05
 37336, savannah       , body          ,   00
 39614, pixiebob       , body          ,   07
 41206, leopard        , pattern       ,   04
 41248, bloodred       , color3        ,   19
 42386, rorschach      , pattern       ,   06
 42807, morningglory   , color3        ,   14
 44216, dahlia         , coloreyes     ,   10
 44373, laperm         , body          ,   22
 45337, skyblue        , color2        ,   22
 51657, spangled       , pattern       ,   07
 52688, belleblue      , color3        ,   00
 53510, gerbil         , mouth         ,   03
 53657, cloudwhite     , color1        ,   16
 54191, calicool       , pattern       ,   08
 57239, tongue         , mouth         ,   23
 59440, beard          , mouth         ,   08
 61338, koladiviya     , body          ,   04
 63788, scarlet        , color2        ,   10
 64667, azaleablush    , color3        ,   12
 65163, coralsunrise   , coloreyes     ,   11
 65472, bobtail        , body          ,   05
 66094, cinderella     , color1        ,   09
 66597, whixtensions   , mouth         ,   00
 67392, frosting       , color3        ,   15
 69686, barkbrown      , color2        ,   11
 75047, rascal         , pattern       ,   02
 75923, cyan           , coloreyes     ,   15
 77737, wonky          , eyes          ,   01
 78068, grim           , mouth         ,   11
 78577, chronic        , eyes          ,   12
 78578, wuvme          , mouth         ,   02
 78963, thundergrey    , coloreyes     ,   00
 79044, emeraldgreen   , color3        ,   07
 80937, slyboots       , eyes          ,   13
 81324, sapphire       , coloreyes     ,   08
 82069, chestnut       , coloreyes     ,   06
 83449, birman         , body          ,   03
 85024, googly         , eyes          ,   03
 85119, purplehaze     , color3        ,   10
 85174, salmon         , color1        ,   01
 86759, egyptiankohl   , color2        ,   02
 88866, tiger          , pattern       ,   01
 88874, gold           , coloreyes     ,   01
 89044, cymric         , body          ,   09
 89147, sandalwood     , color3        ,   01
